keys,en_US,fr_FR
lv1_hoverboard_owner_energy_acquired_01,"Then, you'll have my permission to borrow the hoverboard.","Dans ce cas tu as la permission d'emprunter mon hoverboard"
lv1_hoverboard_owner_energy_acquired_02,"Use it with caution, you hear?","Prends-en soin, d'accord ?"
lv1_fred_warehouse_00,"This path leads to the warehouse.","Ce chemin mène à l'entrepôt."
lv1_prompt_use_hoverboard,"Go after the worker?","Rattraper l'employé ?"
lv1_story_fred_use_hoverboard_01,"And Fred went after the worker to get the number,","Et Fred partit après l'employé pour obtenir le numéro de téléphone."
lv1_story_fred_use_hoverboard_02,"The number belonging to the woman who would later become his one and only wife.","Le numéro appartenant à la personne qui deviendrait plus tard sa femme."
lv1_story_fred_use_hoverboard_03,"A few moments later...","Quelques instants plus tard..."
lv1_chloe_arrival_01,"Just another day in the app.","Encore un jour de plus sur l'application..."
lv1_chloe_arrival_02,"I feel today will bring a special acquintance.","J'ai le sentiment que je vais faire une rencontre spéciale aujourd'hui."
lv1_chloe_arrival_03,"Or perhaps it is just my imagination,","Ou peut-être que c'est juste mon imagination..."
lv1_chloe_arrival_04,"Welp for now, let's get a number.","Enfin, pour l'instant, essayons de récupérer un numéro."
lv1_chloe_prevent_going,"No need to go there.","Pas besoin d'aller par ici"
lv1_fred_prevent_going,"No need to go there.","Pas besoin d'aller par ici."
lv1_chloe_empty_box,"Nothing inside.","C'est vide."
lv1_chloe_puzzle_solved_01,"Got the ID card.","J'ai obtenu la carte d'accès."
lv1_chloe_got_number_01,"Oh, here it is!","Oh, le voici !"
lv1_chloe_got_number_02,"Let's see where this number takes me to.","Voyons où ce numéro m'amènera."
lv1_chloe_fred_meet_01,"H-hi!","S-salut!"
lv1_chloe_fred_meet_02,"You wouldn't happen to be Chloe, would you?","Tu ne serais pas Chloé, par hasard?"
lv1_chloe_fred_meet_03,"Yes, I am. And You must be Fred?","Si c'est moi ! Tu dois être Fred?"
lv1_chloe_fred_meet_04,"Hopefully I found you, after such an adventure.","Heureux de te recontrer enfin, après toute cette aventure."
lv1_chloe_fred_meet_05,"Haha, me too.","Haha, moi aussi."
lv1_chloe_fred_meet_06,"Now that we've met, why don't we get to know each other.","Et si maintenant nous apprenions à nous connaître?"
lv1_chloe_fred_meet_07,"Dentist and Doctor, is it a too medical couple, or is it okay?","Dentiste et médecin, ça fait un couple beaucoup trop médical ou ça passe ?"
lv1_chloe_fred_meet_08,"We just met and you already want to put a ring on my finger?","On vient à peine de se rencontrer et tu veux déjà me passer la bague au doigt ?"
lv1_chloe_fred_meet_09,"Time will tell, haha.","Le futur nous le dira, haha"
lv1_chloe_fred_meet_10,"It's cold out here, why don't we get inside?","Il fait froid dehors, on entre?"
lv1_chloe_fred_meet_11,"Sure, let's get inside.","Oui, entrons!"
lv1_chloe_hoverboard00,"It's a hoverboard.","C'est un hoverboard."
lv1_chloe_need_id_card_00,"It needs an [ID Card].","Il faut une [Carte d'accès]."
lv1_chloe_hoverboard_owner00,"A guy just borrowed my hoverboard.","Un gars vient d'emprunter mon hoverboard."
lv1_chloe_hoverboard_owner01,"He eventually brought it back in good condition, though.","Il me l'a rendu en bon état, cela dit."
lv1_chloe_hoverboard_owner02,"I could tell he's a good guy.","Ca se voit que c'était un type bien."
lv1_story_chloe_fred_meet_01,"Chloe and Fred stepped inside the pub, the place where they first met.","Chloe et Fred entrèrent dans un pub, lieu où eut lieu leur première rencontre."
lv1_story_chloe_fred_meet_02,"It was the beginning of a long journey they would go through.","C'était le début d'une longue et belle aventure."
lv1_story_moment_later,"A few moments later...","Quelques temps plus tard..."
lv1_chloe_paper_hint00,"There's a paper on the ground.","Il y a un papier par terre."
--lv2--,,
lv2_bar_bartender_greet00,"Welcome! Please enjoy your visit.","Bienvenue !"
lv2_bar_npc00,"It's been a rough today....","C'était une dure journée..."
lv2_bar_npc01,"The best place to come after a long day...","C'est le meilleur endroit après une longue journée..."
lv2_bar_npc03,"It's beautiful here, I wish I could come here everyday...","C'est super beau ici, j'aimerais venir tous les jours."
lv2_bar_npc04,"Unfortunately, I need to tighten my belt, or else my mom will be mad at me.","Malheureusement, je dois me serrer la ceinture ou ma mère sera fachée contre moi..."
lv2_bar_npc05,"I am still looking for my soulmate...","Je suis toujours à la recherche de mon âme sœur..."
lv2_bar_npc06,"I wonder what he's doin' right now.","Je me demande ce qu'il fait actuellement."
lv2_bar_npc08,"Have a great date!.","Profitez bien de votre rendez-vous!"
lv2_bar_npc09,"Erm, I wonder what should I order.","Hmm, je me demande ce que je devrais commander"
lv2_bar_npc10,"I've been waiting for her for about 2 hours now...","Je l'attends depuis maintenant 2 heures..."
lv2_bar_npc11,"and yet, she hasn't come.","et pourtant elle n'est toujours pas là..."
lv2_bar_npc12,"I'm watching these plants.","Je regarde ces plantes"
lv2_bar_npc13,"Bar to the right.","Pub à droite"
lv2_bar_npc14,"Have you seen my boyfriend?","Avez-vous vu mon petit ami ?"
lv2_bar_door,"Staff only.","Réservé aux employés"
lv2_fred_wrong_seat,"This is the wrong seat.","Ce n'est pas le bon siège."
lv2_prompt_sit,"Take a seat?","S'asseoir?"
lv2_sit_wait00,"Let's look around before seating.","Jetons un œil aux alentours avant de nous asseoir."
lv2_fred_saw_chloe00,"Oh, it's Chloe!","Oh, c'est Chloé!"
lv2_fred_interact00,"It's a vending machine.","C'est un distributeur automatique."
lv2_fred_interact01,"It's a way back home.","C'est le chemin du retour."
lv2_fred_interact02,"I should get going to the bar.","Je devrais aller au bar."
lv2_bar_chloe_and_fred01,"You remember the first message you sent to me?","Tu te souviens du premier message que tu m'as envoyé ?"
lv2_bar_chloe_and_fred02,"You asked if we could make a couple too medical","Tu m'as demandé dentiste et médecin, ça fait un couple beaucoup trop médical ou ça passe?"
lv2_bar_chloe_and_fred03,"It almost sounded like a proposal haha","Ca ressemblait presque à une demande en mariage"
lv2_bar_chloe_and_fred04,"Haha, was that a bad first message?","Haha, et alors c'est un mauvais premier message ?"
lv2_bar_chloe_and_fred05,"Oh, no. not at all!","Oh non, pas du tout!"
lv2_bar_chloe_and_fred06,"I just hope you brought the ring with you !","J'espère juste que tu as pensé à apporter la bague !"
lv2_bar_chloe_and_fred07,"We'll see what future brings...","Nous verrons bien ce que l'avenir nous réserve..."
lv2_bar_chloe_and_fred08,"But Oops, I might have left it at home.","Mais oups, j'ai dû la laisser à la maison."
lv2_bar_chloe_and_fred09,"What a shame !","Quel dommage !"
lv2_bar_chloe_and_fred10,"Oh, look at that bunch of pretzels!","Oh, regarde ce bol de bretzels!"
lv2_bar_chloe_and_fred11,"We might not have a ring today, but I have an idea with those pretzels...","Nous n'avons peut-être pas de bague aujourd'hui, mais j'ai une idée avec ces bretzels..."
lv2_bar_chloe_and_fred12,"Oh?","Oh ?"
lv2_bar_chloe_and_fred13,"Chloe...","Chloé..."
lv2_bar_chloe_and_fred14,"Fred...","Fred..."
--lv3--,,
name_blob,"Blob","Blob"
lv3_need_key_card,"It needs a [Key card].","Il faut une [Carte d'accès]"
lv3_fred_microscope00,"A microscope.","Un microscope"
lv3_fred_microscope01,"I can inspect the liquid in here.","Je peux inspecter le liquide là-dedans."
lv3_fred_hint00,"They didn't invite me...","Ils ne m'ont pas invité..."
lv3_fred_hint01,"I'm the first.","Je suis le premier"
lv3_fred_hint02,"Oh oh, I'm the second!","Oh oh, je suis le second!"
lv3_fred_hint03,"Well, I'm the last.","Eh bien, je suis le dernier."
lv3_found_key_card,"Found [Key card].","Trouvé [Carte d'accès]"
lv3_found_vaccine,"Found [Vaccine].","Trouvé [Vaccin]"
lv3_found_lab_liquid,"Found [Lab liquid].","Trouvé [Liquide de laboratoire]"
lv3_found_battery,"Found [Battery].","Trouvé [Batterie]"
lv3_found_flint,"Found [Lighter].","Trouvé [Briquet]"
lv3_found_gas,"Found [Gasoline].","Trouvé [Essence]"
lv3_found_baseball_bat,"Found [Baseball bat].","Trouvé [Batte de baseball]"
lv3_use_battery,"Used [Battery].","Utilisé [Batterie]"
lv3_use_key_card,"Used [Key card].","Utilisé [Carte d'accès]"
lv3_use_baseball_bat,"Used [Baseball bat].","Utilisé [Batte de baseball]"
lv3_use_flint,"Used [Lighter].","Utilisé [Briquet]"
lv3_use_gasoline,"Used [Gasoline].","Utilisé [Essence]"
lv3_fred_puzzle_hint00,"It looks like this tube is out of power.","Il semble que ce tube n'a plus d'énergie."
lv3_fred_puzzle_hint01,"Need to find some sort of battery.","Il faut trouver une sorte de batterie."
lv3_fred_lab_jacket00,"There's something inside the pocket.","Il y a quelque chose dans la poche."
lv3_fred_lab_jacket01,"Take item?","Prendre l'objet ?"
lv3_fred_vault00,"It needs a key combination.","Il faut entrer une combinaison."
lv3_intro01,"COVID Virus - 2020.","Virus du COVID - 2020"
lv3_intro02,"It was a trying time for both Chloe and Fred relationship.","Cela a été une période difficile pour Fred et Chloé."
lv3_intro03,"Due to the virus, they were driven apart.","A cause du confinement, ils ont dû rester loin l'un de l'autre."
lv3_intro04,"They fought to find their way back to each other again.","Ils ont du se battre pour pouvoir se retrouver."
lv3_fred_bring_vaccine00,"I need to bring the vaccine.","Je dois apporter le vaccin."
lv3_ground_flint00,"There's a [Lighter] in the ground.","Il y a un [Briquet] sur le sol"
lv3_chloe01,"There's a slightly burned wood inside the glass container.","Il y a un bois légèrement brûlé dans le récipient en verre."
lv3_chloe02,"Maybe I can break this glass.","Peut-être que je peux briser ce verre."
lv3_chloe03,"Let's break the glass with the baseball bat.","Brisons le verre avec la batte de baseball"
lv3_chloe04,"Break the glass?","Briser la glace?"
lv3_chloe05,"That burn mark might hide something...","Cette marque de brûlure pourrait cacher quelque chose..."
lv3_chloe06,"Need something to start a fire.","Il faut quelque chose pour démarrer un feu."
lv3_chloe07,"Use [Gasoline] and [Lighter]?","Utiliser l'[Essence] et le [Briquet] ?"
lv3_chloe08,"There's a paper.",""Il y a un papier.
lv3_end00,"They finally reunited, filled with joy after being apart in distant.","Ils furent finalement réunis, emplis de joie à l'idée de se retrouver après avoir été séparés si longtemps."
lv3_end01,"And decided to go on several trips together, especially in Norway... .","Et décidèrent ensemble faire ensemble de nombreux voyages, dont un très spécial en Norvège..."
--lv4--,,
lv4_end00,"After the trip, they decided to move in together together.","Après ce ce voyage, ils décidèrent d'emménager ensemble."
lv4_end01,"It was a beautiful day for both Chloe and Fred.","C'était une superbe journée pour Chloé et Fred"
lv4_end02,"Going Home...","Le jour de l'emménagement..."
lv4_end03,"Fred, can you move the closed box to the [X] over there, please?","Fred, peux-tu déplacer cette boîte jusqu'au [X] là-bas?"
lv4_end04,"Okay!","Okay!"
lv4_end05,"Thanks, Fred!","Merci, Fred!"
lv4_end06,"Reset boxes position?","Réinitialiser la position des boîtes?"
lv4_end07,"That should be all.","On dirait bien que c'est terminé."
lv4_end08,"Thank you!","Merci!"
--lv5--,,
lv5_06,"I'm so tired, maybe I'll just sit for a bit.","Je suis si fatigué, peut-être que je vais m'asseoir un moment."
lv5_07,"A few moments later...","Quelques instants plus tard..."
lv5_08,"This is the day...","C'est le grand jour..."
lv5_09,"Come on, Fred! You can do this!","Allez Fred ! Tu peux le faire !"
lv5_10,"...","..."
lv5_11,"Where is it? I'm so sure I put the ring in my right pocket.","Où est-elle ? Je suis pourtant certain d'avoir mis la bague dans ma poche."
lv5_12,"I couldn't have dropped it, could I?","Je n'aurais pas pu la faire tomber, si ?"
lv5_13,"That's Chloe, the atmosphere is perfect, I just need the ring","Voilà Chloé, le moment est parfait, j'ai juste besoin de la bague."
lv5_14,"This is not the ring.","Ce n'est pas la bague."
lv5_15,"Oh, here's the ring.","Oh, voilà la bague !"
lv5_fred_found_ring,"Found [Ring].","Trouvé [Bague]."
lv5_16,"...","..."
lv5_17,"Was I just dreaming?","Était-ce juste un mauvais rêve ?"
lv5_18,"The ring!?","La bague!?"
lv5_19,"Phew, it's here.","Ouf, elle est là."
lv5_20,"I need to find Chloe.","Je dois trouver Chloé maintenant."
lv5_21,"...","..."
lv5_22,"Hanakapi'ai beach, 2026, August 28th... On that beautiful day, during their trip in Hawaii, Fred proposed to Chloe.","Plage de Hanakapi'ai, 28 Août 2026… En cette belle journée, lors de leur voyage à Hawaï, Fred fit sa demande à Chloé."
lv5_23,"It was the happiest day for them, the beginning of a long journey they would go through together.","C'était l'un des plus beaux jours de leur vie, le début d'une longue et belle aventure, la leur."
lv5_24,"Happy Wedding, Chloe and Fred!","Félicitations pour votre mariage Chloé et Fred !"
lv5_25,"Wishing you a lifetime of love and happiness.","Que votre vie soit remplie d'amour et de bonheur."
lv5_26,"Trip - Hawaii.","Voyage à Hawaï"
lv5_27,"Empty.","C'est vide."
lv5_28,"Erm, yes?","Euh, oui ?"
lv5_29,"Several months later...","Plusieurs mois plus tard..."
lv5_30,"First, I need to take a rest, we've been visiting several places now.","Premièrement, j'ai besoin de repos, nous avons beaucoup marché."
lv5_31,"- The End -"," - Fin -"
lv5_32,"A sand castle.","Un château de sable."
lv5_33,"There's a paper in it. It says [2481]","Il y a un papier là-dedans. C'est écrit [2481]."
